matched_fragments,fragment_SMILES,length_of_fragment,matched_molecules,number_of_matched_molecules,fragment_scores,full_molecule_scores,average_molecule_score
81857,ClC1=CC=CC=C1Cl,8,"[32, 46, 55, 86, 94, 109, 120, 125, 162, 175, 194, 200, 201, 203, 214, 237, 242, 249, 263, 265, 300, 331, 377, 378, 405, 426, 427, 429, 439, 461, 474, 481, 507, 521, 533, 542, 544, 561, 578, 602, 611, 639, 642, 649, 652, 662, 676, 677, 699, 710, 722, 725, 754, 758, 776, 777, 791, 835, 847, 848, 858, 887, 889, 902, 908, 915, 1030, 1031, 1039, 1042, 1045, 1052, 1054, 1057, 1072, 1085, 1091, 1109, 1116, 1144, 1145, 1176, 1184, 1189, 1193, 1213, 1235, 1248, 1251, 1255, 1262, 1265, 1290, 1325, 1331, 1337, 1355, 1375, 1377, 1378, 1379, 1405, 1412, 1463, 1469, 1493, 1496, 1507, 1558, 1559, 1562, 1567, 1570, 1594, 1598, 1604, 1663, 1667, 1683, 1688, 1713, 1722, 1723, 1724, 1726, 1729, 1731, 1733, 1738, 1740, 1741, 1745, 1746, 1747, 1748, 1749, 1750, 1751, 1777, 1785, 1786, 1787, 1788, 1791, 1811, 1812, 1821, 1874, 1888, 1899, 1957, 2002, 2023, 2067, 2072, 2076, 2085, 2091, 2095, 2119, 2145, 2161, 2172, 2208, 2217, 2228, 2230, 2232, 2250, 2310, 2319, 2359, 2362, 2376, 2382, 2392, 2406, 2515, 2593, 2596, 2611, 2618, 2628, 2676, 2677, 2686, 2722, 2734, 2750, 2791, 2796, 2882, 2886, 2906, 2912, 2941, 2958, 2972, 3007, 3008, 3010, 3017, 3018, 3027, 3034, 3037, 3042, 3088, 3102, 3111, 3122, 3123, 3164, 3165, 3203, 3210, 3222, 3236, 3237, 3240, 3270, 3276, 3297, 3320, 3330, 3332, 3333, 3336, 3338, 3356, 3357, 3369, 3388, 3389, 3394, 3397, 3398, 3434, 3442, 3446, 3451, 3472, 3484, 3495, 3496, 3500, 3507, 3512, 3524, 3526, 3538, 3543, 3544, 3546, 3572, 3583, 3591, 3592, 3596, 3600, 3623, 3634, 3640]",263,0.2523285311646759,"[0.2011455439031124, 0.2453069861978292, 0.2249952647835016, 0.333226129412651, 0.2071893790736794, 0.2359009087085724, 0.2591340817511082, 0.2565998036414385, 0.2256831048056483, 0.3334834065288305, 0.2492823630571365, 0.3151543073356151, 0.3333603948354721, 0.2929619908332824, 0.2578309409320354, 0.2386302828788757, 0.2252348389476537, 0.4078838676214218, 0.2990783002227545, 0.2008719887584447, 0.2752169705927372, 0.5745939269661904, 0.2867954239249229, 0.3016275756061077, 0.2066120682284236, 0.2254410333931446, 0.282796148955822, 0.2132754184305668, 0.2916778244078159, 0.2063576478511095, 0.24662348292768, 0.215582263097167, 0.2267315335571766, 0.2174815371632576, 0.2494773656129837, 0.2587593488395214, 0.2032244656234979, 0.2296229200437665, 0.2124320483300835, 0.2911436274647713, 0.2148210987448692, 0.3199777130037546, 0.2996530801057815, 0.2046752553433179, 0.2306476473808288, 0.2518035646528005, 0.32872613966465, 0.4135220907628536, 0.2557845562696457, 0.2478510245680809, 0.2084050078876316, 0.2009358182549476, 0.2286387123167514, 0.2479502961039543, 0.2447261944413185, 0.2020231982693076, 0.2030022244900465, 0.2237550139427185, 0.2099148090928793, 0.2086415775120258, 0.2598999369889497, 0.2211444597691297, 0.2629199482500553, 0.2051993679255247, 0.3703366287052631, 0.2727126821875572, 0.4513999089598656, 0.2424270011484623, 0.4227288834750652, 0.2130193371325731, 0.2478089295327663, 0.2716214999556541, 0.2885984225198627, 0.2037885855883359, 0.2259444650262594, 0.2192725662142038, 0.2763381280004978, 0.2039586037397384, 0.2008094545453786, 0.3251830630004406, 0.3046388626098633, 0.2043138990178704, 0.2496925834566354, 0.238210934586823, 0.3010635539889336, 0.3216226883232593, 0.2301969610154629, 0.2397236380726099, 0.2125946374610066, 0.2332436807453632, 0.244278760254383, 0.2059144170954823, 0.2084689635783433, 0.3171860683709383, 0.2559474091976881, 0.4613875493407249, 0.2521509755402803, 0.2806933552026748, 0.2491562459617853, 0.231082297116518, 0.2282987009733915, 0.3210566014051437, 0.3724535062909126, 0.2298225998878479, 0.3011251509189606, 0.3657699838280678, 0.2601795792579651, 0.21177858710289, 0.2264333669096231, 0.2529790133237838, 0.2228284113109112, 0.2007220469415188, 0.3211766242980957, 0.283351731300354, 0.2680165715515613, 0.2193797657266259, 0.2509007535874843, 0.2255878359079361, 0.2134395303204655, 0.2371861904859543, 0.2286669410765171, 0.2232285179197788, 0.2539729204028845, 0.2065711723640561, 0.2150114117190242, 0.238957854360342, 0.2520779989659786, 0.2236290017142891, 0.2384554982185363, 0.211444590985775, 0.2329290933907032, 0.212574053928256, 0.2163638159632682, 0.2112277979031205, 0.2433112900704145, 0.2052695479243994, 0.2133135253563523, 0.2496734201908111, 0.2253574695438146, 0.2486582953482866, 0.2549164913594722, 0.2254176853224635, 0.2097859311848879, 0.2112543499097228, 0.2278972446918487, 0.2513679556548595, 0.2432611413300037, 0.2044935129582882, 0.2372938573360443, 0.2360423902980983, 0.341479118168354, 0.203663370013237, 0.2468984983861446, 0.2093681253492832, 0.2972862865775824, 0.2854136429727077, 0.2145139746367931, 0.3000388033688068, 0.2268746212124824, 0.2593472342938184, 0.3549294378608465, 0.4160995043814182, 0.2149874564260244, 0.2182057410478592, 0.2360956951975822, 0.211875419691205, 0.2023520063608885, 0.2767640516161919, 0.2937541618943214, 0.2416165448725223, 0.2734712705016136, 0.2162315301597118, 0.2486915238201618, 0.2682600528001785, 0.2295069959014654, 0.2480598732829094, 0.3380266800522804, 0.3535112172365188, 0.2365995042026042, 0.2077771242707967, 0.2484569333493709, 0.2626021035015583, 0.204391542263329, 0.2428443919867277, 0.220575113967061, 0.244341454654932, 0.2075705170631408, 0.2852729730308055, 0.2274244625121355, 0.2387391060590744, 0.3564708612859249, 0.2886225888505578, 0.2616319924592972, 0.2059070525690913, 0.3035754427313805, 0.2824438884854316, 0.2229122217744588, 0.2177784090861678, 0.2580798655748367, 0.2567879736423492, 0.2046753838658332, 0.2675495915114879, 0.2094743799418211, 0.2591716863214969, 0.2570435225963592, 0.2772183172404766, 0.3633268762379885, 0.2139343775808811, 0.2325860109180212, 0.3756552435457706, 0.2096538422629237, 0.2277320113033056, 0.2310209043323993, 0.2221480479463934, 0.2065533831715583, 0.2206877090036869, 0.2682545311748981, 0.2523286444600671, 0.3982654519379139, 0.2375317737460136, 0.2323149714618921, 0.2272753421217203, 0.2231070052832365, 0.2879981242120266, 0.2233756950125098, 0.2660140730440616, 0.2340321000665426, 0.2145411697216332, 0.2560152240097523, 0.2061726469546556, 0.2012438130564987, 0.214894238486886, 0.2551761925220489, 0.2589010246098041, 0.2422552417963743, 0.2076687050983309, 0.2452323134988546, 0.2082755006849765, 0.2859587393701076, 0.2138934794813394, 0.2529389943927526, 0.2571631424129009, 0.2447716381400823, 0.2073990706354379, 0.2142407484352588, 0.211689648963511, 0.2995400249958038, 0.2755771532654762, 0.212920881435275, 0.229253639653325, 0.237341932952404, 0.2214895073324441, 0.2227910108864307, 0.2668193399906158, 0.2516644332557917, 0.2643708519637585, 0.2290049441158771, 0.231833666190505, 0.2487143203616142, 0.2111002091318368, 0.2769133910536766, 0.2395324192941189, 0.2401097077876329]",0.2528134545552129
76739,CNC1=CC=C(Cl)C(Cl)=C1,10,"[32, 94, 194, 200, 237, 263, 265, 377, 405, 461, 474, 521, 542, 602, 649, 677, 699, 722, 847, 848, 858, 908, 1045, 1052, 1057, 1116, 1184, 1193, 1213, 1248, 1251, 1255, 1262, 1265, 1290, 1377, 1378, 1412, 1507, 1663, 1667, 1723, 1724, 1726, 1729, 1731, 1733, 1738, 1740, 1741, 1745, 1746, 1747, 1748, 1749, 1750, 1751, 1777, 1785, 1786, 1787, 1788, 1791, 1812, 1874, 2208, 2217, 2228, 2406, 2596, 2791, 2912, 2941, 2958, 2972, 3010, 3017, 3018, 3102, 3122, 3123, 3164, 3165, 3203, 3222, 3270, 3276, 3320, 3330, 3332, 3333, 3356, 3369, 3389, 3394, 3434, 3446, 3451, 3484, 3495, 3500, 3543, 3544, 3546, 3572, 3591, 3596, 3634, 3640]",109,0.1714286329806782,"[0.2011455439031124, 0.2071893790736794, 0.2492823630571365, 0.3151543073356151, 0.2386302828788757, 0.2990783002227545, 0.2008719887584447, 0.2867954239249229, 0.2066120682284236, 0.2063576478511095, 0.24662348292768, 0.2174815371632576, 0.2587593488395214, 0.2911436274647713, 0.2046752553433179, 0.4135220907628536, 0.2557845562696457, 0.2084050078876316, 0.2099148090928793, 0.2086415775120258, 0.2598999369889497, 0.3703366287052631, 0.2478089295327663, 0.2716214999556541, 0.2037885855883359, 0.2008094545453786, 0.2496925834566354, 0.3010635539889336, 0.3216226883232593, 0.2397236380726099, 0.2125946374610066, 0.2332436807453632, 0.244278760254383, 0.2059144170954823, 0.2084689635783433, 0.2491562459617853, 0.231082297116518, 0.3724535062909126, 0.21177858710289, 0.2509007535874843, 0.2255878359079361, 0.2539729204028845, 0.2065711723640561, 0.2150114117190242, 0.238957854360342, 0.2520779989659786, 0.2236290017142891, 0.2384554982185363, 0.211444590985775, 0.2329290933907032, 0.212574053928256, 0.2163638159632682, 0.2112277979031205, 0.2433112900704145, 0.2052695479243994, 0.2133135253563523, 0.2496734201908111, 0.2253574695438146, 0.2486582953482866, 0.2549164913594722, 0.2254176853224635, 0.2097859311848879, 0.2112543499097228, 0.2513679556548595, 0.2044935129582882, 0.2182057410478592, 0.2360956951975822, 0.211875419691205, 0.3380266800522804, 0.2077771242707967, 0.2387391060590744, 0.3035754427313805, 0.2824438884854316, 0.2229122217744588, 0.2177784090861678, 0.2046753838658332, 0.2675495915114879, 0.2094743799418211, 0.2325860109180212, 0.2096538422629237, 0.2277320113033056, 0.2310209043323993, 0.2221480479463934, 0.2065533831715583, 0.2682545311748981, 0.2323149714618921, 0.2272753421217203, 0.2879981242120266, 0.2233756950125098, 0.2660140730440616, 0.2340321000665426, 0.2061726469546556, 0.214894238486886, 0.2589010246098041, 0.2422552417963743, 0.2082755006849765, 0.2138934794813394, 0.2529389943927526, 0.2447716381400823, 0.2073990706354379, 0.211689648963511, 0.2214895073324441, 0.2227910108864307, 0.2668193399906158, 0.2516644332557917, 0.2290049441158771, 0.2487143203616142, 0.2395324192941189, 0.2401097077876329]",0.23948014454505992
1496,CCCc1ccc(O)cc1,10,"[0, 154, 255, 257, 277, 284, 300, 302, 306, 354, 431, 443, 473, 478, 499, 505, 509, 511, 535, 564, 608, 619, 626, 627, 628, 687, 767, 774, 831, 838, 844, 851, 854, 855, 856, 867, 870, 872, 899, 976, 1025, 1028, 1053, 1091, 1097, 1107, 1175, 1180, 1204, 1296, 1297, 1410, 1411, 1413, 1445, 1448, 1450, 1533, 1561, 1565, 1571, 1579, 1673, 1676, 1679, 1685, 1686, 1693, 1880, 1881, 1903, 1935, 1937, 2047, 2061, 2065, 2074, 2091, 2166, 2224, 2301, 2329, 2339, 2350, 2397, 2597, 2727, 2728, 2874, 2897, 2999, 3059, 3103, 3152, 3158, 3160, 3261, 3324, 3507, 3514, 3547, 3570, 3577, 3605, 3626, 3665]",106,0.0703601026907563,"[0.203643961623311, 0.5237967811524868, 0.2132368322461843, 0.2206867054104805, 0.5501516826450825, 0.3553146496415138, 0.2752169705927372, 0.2288642070256173, 0.2413587249815464, 0.2690381376072764, 0.2901986181735992, 0.2867318674921989, 0.2157890059053898, 0.2059555172920227, 0.2030332900583744, 0.2454527452588081, 0.200840425491333, 0.2069317687302828, 0.3574882641434669, 0.3028478153049946, 0.2130245469510555, 0.2933682069182396, 0.2261691458523273, 0.2216222561895847, 0.2184056565165519, 0.2709151968359947, 0.3035607531666756, 0.2153747931122779, 0.2299636948853731, 0.2318229340016842, 0.2024513587355613, 0.2387975215911865, 0.2030979495495558, 0.210532708466053, 0.2400473482906818, 0.2017155725508928, 0.2358854100108146, 0.2853893548250198, 0.2800492219626903, 0.2027561862021684, 0.2033591562416404, 0.5429364830255509, 0.2494072556495666, 0.2763381280004978, 0.2095886141061783, 0.3385331466794014, 0.2144927747547626, 0.2110832039266824, 0.2533045206218958, 0.2544990710914135, 0.2154528528451919, 0.2069868218153715, 0.2001264292746782, 0.2092492062598467, 0.2713254630565643, 0.2630285233259201, 0.2599607825279236, 0.2296207228442654, 0.2029442340135574, 0.2158018581569195, 0.5444398269057273, 0.320631318539381, 0.2418416574597358, 0.2565822221338749, 0.2094269517809152, 0.2274776227772235, 0.2371124699711799, 0.2590767763555049, 0.2345880944281816, 0.2242716114968061, 0.2152296990156173, 0.2013437405228614, 0.2190558187663555, 0.5296471633017064, 0.2000861063599586, 0.2185195047408342, 0.2152770467102527, 0.3000388033688068, 0.2833647052198103, 0.2203483507037162, 0.2124248009175062, 0.3050979301333427, 0.2514101274311542, 0.2656982541084289, 0.2484938617795705, 0.2554705832153559, 0.5346906684339047, 0.5180177599191665, 0.2655436236411333, 0.5051155112683773, 0.3625601135194302, 0.2936655536293983, 0.3055334195494651, 0.2587101452052593, 0.2219320029020309, 0.2245007913559675, 0.2278535250108689, 0.5243813127279282, 0.2995400249958038, 0.2442845092853531, 0.2180184107273817, 0.5162243105471134, 0.2319831561297178, 0.2085419375449419, 0.2326993409544229, 0.2010587565600872]",0.27020166941189133
81806,CC1=CC=C(Cl)C(Cl)=C1,9,"[46, 55, 109, 120, 200, 201, 203, 300, 378, 426, 481, 507, 544, 561, 578, 611, 639, 652, 676, 725, 776, 791, 835, 887, 889, 902, 908, 915, 1031, 1039, 1042, 1054, 1085, 1091, 1189, 1325, 1337, 1379, 1405, 1463, 1469, 1493, 1496, 1594, 1598, 1604, 1688, 1722, 1729, 1811, 1957, 2023, 2067, 2091, 2119, 2172, 2217, 2319, 2376, 2382, 2611, 2618, 2628, 2676, 2677, 2686, 2722, 2734, 2750, 2886, 3034, 3042, 3088, 3111, 3123, 3164, 3237, 3240, 3270, 3297, 3338, 3357, 3388, 3472, 3496, 3507, 3512, 3524, 3526, 3538, 3543, 3544, 3583, 3591, 3600, 3640]",96,0.0833560609316919,"[0.2453069861978292, 0.2249952647835016, 0.2359009087085724, 0.2591340817511082, 0.3151543073356151, 0.3333603948354721, 0.2929619908332824, 0.2752169705927372, 0.3016275756061077, 0.2254410333931446, 0.215582263097167, 0.2267315335571766, 0.2032244656234979, 0.2296229200437665, 0.2124320483300835, 0.2148210987448692, 0.3199777130037546, 0.2306476473808288, 0.32872613966465, 0.2009358182549476, 0.2447261944413185, 0.2030022244900465, 0.2237550139427185, 0.2211444597691297, 0.2629199482500553, 0.2051993679255247, 0.3703366287052631, 0.2727126821875572, 0.2424270011484623, 0.4227288834750652, 0.2130193371325731, 0.2885984225198627, 0.2192725662142038, 0.2763381280004978, 0.238210934586823, 0.3171860683709383, 0.4613875493407249, 0.2282987009733915, 0.3210566014051437, 0.2298225998878479, 0.3011251509189606, 0.3657699838280678, 0.2601795792579651, 0.283351731300354, 0.2680165715515613, 0.2193797657266259, 0.2371861904859543, 0.2232285179197788, 0.238957854360342, 0.2278972446918487, 0.341479118168354, 0.2468984983861446, 0.2093681253492832, 0.3000388033688068, 0.2593472342938184, 0.2149874564260244, 0.2360956951975822, 0.2734712705016136, 0.2682600528001785, 0.2295069959014654, 0.2484569333493709, 0.2626021035015583, 0.204391542263329, 0.2428443919867277, 0.220575113967061, 0.244341454654932, 0.2075705170631408, 0.2852729730308055, 0.2274244625121355, 0.2616319924592972, 0.2570435225963592, 0.3633268762379885, 0.2139343775808811, 0.3756552435457706, 0.2277320113033056, 0.2310209043323993, 0.3982654519379139, 0.2375317737460136, 0.2323149714618921, 0.2231070052832365, 0.2560152240097523, 0.2012438130564987, 0.2551761925220489, 0.2571631424129009, 0.2142407484352588, 0.2995400249958038, 0.2755771532654762, 0.212920881435275, 0.229253639653325, 0.237341932952404, 0.2214895073324441, 0.2227910108864307, 0.2643708519637585, 0.2290049441158771, 0.2111002091318368, 0.2401097077876329]",0.25782159293448786
42396,CCCCc1ccc(O)cc1,11,"[0, 255, 257, 277, 284, 300, 354, 431, 443, 473, 505, 509, 511, 535, 564, 608, 619, 626, 627, 628, 687, 767, 774, 838, 844, 854, 856, 867, 870, 872, 899, 976, 1053, 1091, 1097, 1107, 1175, 1204, 1296, 1297, 1410, 1411, 1413, 1445, 1561, 1565, 1579, 1676, 1679, 1685, 1880, 1881, 1903, 2061, 2065, 2074, 2091, 2224, 2301, 2329, 2350, 2597, 2999, 3059, 3103, 3152, 3160, 3507, 3547, 3577, 3605]",71,0.1080265009310096,"[0.203643961623311, 0.2132368322461843, 0.2206867054104805, 0.5501516826450825, 0.3553146496415138, 0.2752169705927372, 0.2690381376072764, 0.2901986181735992, 0.2867318674921989, 0.2157890059053898, 0.2454527452588081, 0.200840425491333, 0.2069317687302828, 0.3574882641434669, 0.3028478153049946, 0.2130245469510555, 0.2933682069182396, 0.2261691458523273, 0.2216222561895847, 0.2184056565165519, 0.2709151968359947, 0.3035607531666756, 0.2153747931122779, 0.2318229340016842, 0.2024513587355613, 0.2030979495495558, 0.2400473482906818, 0.2017155725508928, 0.2358854100108146, 0.2853893548250198, 0.2800492219626903, 0.2027561862021684, 0.2494072556495666, 0.2763381280004978, 0.2095886141061783, 0.3385331466794014, 0.2144927747547626, 0.2533045206218958, 0.2544990710914135, 0.2154528528451919, 0.2069868218153715, 0.2001264292746782, 0.2092492062598467, 0.2713254630565643, 0.2029442340135574, 0.2158018581569195, 0.320631318539381, 0.2565822221338749, 0.2094269517809152, 0.2274776227772235, 0.2345880944281816, 0.2242716114968061, 0.2152296990156173, 0.2000861063599586, 0.2185195047408342, 0.2152770467102527, 0.3000388033688068, 0.2203483507037162, 0.2124248009175062, 0.3050979301333427, 0.2656982541084289, 0.2554705832153559, 0.3625601135194302, 0.2936655536293983, 0.3055334195494651, 0.2587101452052593, 0.2245007913559675, 0.2995400249958038, 0.2180184107273817, 0.2319831561297178, 0.2085419375449419]",0.25128870663875846
449,CCCc1cccc(O)c1,10,"[1, 9, 19, 127, 143, 255, 300, 431, 443, 473, 509, 535, 564, 619, 629, 630, 675, 687, 703, 762, 774, 851, 854, 855, 867, 870, 976, 1053, 1091, 1097, 1107, 1149, 1175, 1179, 1180, 1445, 1565, 1579, 1673, 1679, 1938, 1964, 1999, 2065, 2091, 2224, 2329, 2397, 2686, 2687, 2873, 2874, 2999, 3152, 3507, 3577, 3605]",57,0.0651054167654365,"[0.3121060699224472, 0.2132601827383041, 0.2340475335717201, 0.3123995646834373, 0.2848573403432965, 0.2132368322461843, 0.2752169705927372, 0.2901986181735992, 0.2867318674921989, 0.2157890059053898, 0.200840425491333, 0.3574882641434669, 0.3028478153049946, 0.2933682069182396, 0.2262315347790718, 0.2179087601602077, 0.2152742780745029, 0.2709151968359947, 0.2066838458180427, 0.2200957188382744, 0.2153747931122779, 0.2387975215911865, 0.2030979495495558, 0.210532708466053, 0.2017155725508928, 0.2358854100108146, 0.2027561862021684, 0.2494072556495666, 0.2763381280004978, 0.2095886141061783, 0.3385331466794014, 0.2282380059361458, 0.2144927747547626, 0.2188538964837789, 0.2110832039266824, 0.2713254630565643, 0.2158018581569195, 0.320631318539381, 0.2418416574597358, 0.2094269517809152, 0.2268229063600301, 0.2343338377540931, 0.2033231753855943, 0.2185195047408342, 0.3000388033688068, 0.2203483507037162, 0.3050979301333427, 0.2484938617795705, 0.244341454654932, 0.2140926238149404, 0.2156836938112974, 0.2655436236411333, 0.3625601135194302, 0.2587101452052593, 0.2995400249958038, 0.2319831561297178, 0.2085419375449419]",0.24774027353667308
48151,CCCCc1ccccc1O,11,"[505, 631, 685, 703, 762, 983, 998, 1004, 1008, 1009, 1071, 1079, 1082, 1149, 1322, 1324, 1425, 1431, 1565, 1876, 1887, 1963, 1964, 2183, 2317, 2327, 2371, 2497, 2649, 2653, 2656, 2657, 2674, 2681, 2682, 2683, 2684, 2685, 2686, 2687, 2697, 3003, 3061, 3088, 3139, 3157, 3240, 3296, 3297, 3341, 3469, 3523, 3604]",53,0.0969911543652415,"[0.2454527452588081, 0.2000568322837352, 0.2050557423382997, 0.2066838458180427, 0.2200957188382744, 0.2784305691719055, 0.3847232863306999, 0.2874540373682975, 0.275206096470356, 0.2202847816050052, 0.2412018164992332, 0.2008712075650692, 0.2147564768791198, 0.2282380059361458, 0.2607076808810234, 0.257304449006915, 0.3275651425123215, 0.3268613666296005, 0.2158018581569195, 0.2999906986951828, 0.2205222971737384, 0.2403470231220126, 0.2343338377540931, 0.2259469851851463, 0.200551619194448, 0.3271941624581814, 0.2155551727861166, 0.2467670306563377, 0.3688788630068302, 0.2212270155549049, 0.2032979201525449, 0.2650792833417654, 0.2187217682600021, 0.2122757166624069, 0.321837717294693, 0.2178803633898496, 0.2054905900731682, 0.2064008340239524, 0.244341454654932, 0.2140926238149404, 0.2900868147611618, 0.2639356292784214, 0.3046973057091236, 0.2139343775808811, 0.203970642760396, 0.2858180299401283, 0.2375317737460136, 0.2686665393412113, 0.2231070052832365, 0.2771868571639061, 0.2956012442708015, 0.2428789511322975, 0.2414900496602058]",0.25012056334778876
12675,CCCCc1cccc(O)c1,11,"[1, 19, 127, 143, 255, 300, 431, 443, 473, 509, 535, 564, 619, 629, 630, 675, 687, 703, 762, 774, 854, 867, 870, 976, 1053, 1091, 1097, 1107, 1149, 1175, 1179, 1445, 1565, 1579, 1679, 1964, 2065, 2091, 2224, 2329, 2686, 2687, 2999, 3152, 3507, 3577, 3605]",47,0.09785339795053,"[0.3121060699224472, 0.2340475335717201, 0.3123995646834373, 0.2848573403432965, 0.2132368322461843, 0.2752169705927372, 0.2901986181735992, 0.2867318674921989, 0.2157890059053898, 0.200840425491333, 0.3574882641434669, 0.3028478153049946, 0.2933682069182396, 0.2262315347790718, 0.2179087601602077, 0.2152742780745029, 0.2709151968359947, 0.2066838458180427, 0.2200957188382744, 0.2153747931122779, 0.2030979495495558, 0.2017155725508928, 0.2358854100108146, 0.2027561862021684, 0.2494072556495666, 0.2763381280004978, 0.2095886141061783, 0.3385331466794014, 0.2282380059361458, 0.2144927747547626, 0.2188538964837789, 0.2713254630565643, 0.2158018581569195, 0.320631318539381, 0.2094269517809152, 0.2343338377540931, 0.2185195047408342, 0.3000388033688068, 0.2203483507037162, 0.3050979301333427, 0.244341454654932, 0.2140926238149404, 0.3625601135194302, 0.2587101452052593, 0.2995400249958038, 0.2319831561297178, 0.2085419375449419]",0.25203857566874
76516,CCC1=CC=C(Cl)C(Cl)=C1,10,"[120, 300, 426, 507, 791, 889, 1031, 1091, 1493, 1496, 1811, 1957, 2023, 2091, 2119, 2172, 2611, 2618, 2676, 2677, 2686, 2722, 2750, 2886, 3034, 3088, 3111, 3240, 3297, 3338, 3357, 3507, 3512, 3524, 3526, 3600]",36,0.1006301350076682,"[0.2591340817511082, 0.2752169705927372, 0.2254410333931446, 0.2267315335571766, 0.2030022244900465, 0.2629199482500553, 0.2424270011484623, 0.2763381280004978, 0.3657699838280678, 0.2601795792579651, 0.2278972446918487, 0.341479118168354, 0.2468984983861446, 0.3000388033688068, 0.2593472342938184, 0.2149874564260244, 0.2484569333493709, 0.2626021035015583, 0.2428443919867277, 0.220575113967061, 0.244341454654932, 0.2075705170631408, 0.2274244625121355, 0.2616319924592972, 0.2570435225963592, 0.2139343775808811, 0.3756552435457706, 0.2375317737460136, 0.2231070052832365, 0.2560152240097523, 0.2012438130564987, 0.2995400249958038, 0.2755771532654762, 0.212920881435275, 0.229253639653325, 0.2111002091318368]",0.25267162992774206
1600,CC(C)c1ccc(O)cc1,10,"[0, 284, 354, 854, 867, 872, 879, 899, 905, 976, 1053, 1409, 1445, 1565, 1602, 1682, 1685, 1686, 1903, 2339, 2350, 2397, 2597, 2903, 2999, 3059, 3103, 3152, 3160, 3605, 3665]",31,0.0512876903987489,"[0.203643961623311, 0.3553146496415138, 0.2690381376072764, 0.2030979495495558, 0.2017155725508928, 0.2853893548250198, 0.2585983537137508, 0.2800492219626903, 0.2643651124089956, 0.2027561862021684, 0.2494072556495666, 0.456021748483181, 0.2713254630565643, 0.2158018581569195, 0.2531305007636547, 0.2007700946938712, 0.2274776227772235, 0.2371124699711799, 0.2152296990156173, 0.2514101274311542, 0.2656982541084289, 0.2484938617795705, 0.2554705832153559, 0.3892475329339504, 0.3625601135194302, 0.2936655536293983, 0.3055334195494651, 0.2587101452052593, 0.2245007913559675, 0.2085419375449419, 0.2010587565600872]",0.2617785899834181
76826,NCC1=CC=C(Cl)C(Cl)=C1,10,"[55, 426, 481, 507, 578, 725, 791, 835, 908, 1463, 1469, 1594, 1604, 1722, 1729, 2319, 2676, 2677, 3034, 3123, 3164, 3270, 3472, 3496, 3512, 3526, 3543, 3544, 3591, 3600, 3640]",31,0.051096576963755,"[0.2249952647835016, 0.2254410333931446, 0.215582263097167, 0.2267315335571766, 0.2124320483300835, 0.2009358182549476, 0.2030022244900465, 0.2237550139427185, 0.3703366287052631, 0.2298225998878479, 0.3011251509189606, 0.283351731300354, 0.2193797657266259, 0.2232285179197788, 0.238957854360342, 0.2734712705016136, 0.2428443919867277, 0.220575113967061, 0.2570435225963592, 0.2277320113033056, 0.2310209043323993, 0.2323149714618921, 0.2571631424129009, 0.2142407484352588, 0.2755771532654762, 0.229253639653325, 0.2214895073324441, 0.2227910108864307, 0.2290049441158771, 0.2111002091318368, 0.2401097077876329]",0.23821966767220965
79370,CNCC1=CC=C(Cl)C(Cl)=C1,11,"[55, 426, 481, 507, 578, 725, 791, 835, 908, 1463, 1469, 1594, 1604, 1722, 1729, 2319, 2676, 2677, 3123, 3164, 3270, 3472, 3496, 3512, 3526, 3543, 3544, 3591, 3600, 3640]",30,0.0674791391269536,"[0.2249952647835016, 0.2254410333931446, 0.215582263097167, 0.2267315335571766, 0.2124320483300835, 0.2009358182549476, 0.2030022244900465, 0.2237550139427185, 0.3703366287052631, 0.2298225998878479, 0.3011251509189606, 0.283351731300354, 0.2193797657266259, 0.2232285179197788, 0.238957854360342, 0.2734712705016136, 0.2428443919867277, 0.220575113967061, 0.2277320113033056, 0.2310209043323993, 0.2323149714618921, 0.2571631424129009, 0.2142407484352588, 0.2755771532654762, 0.229253639653325, 0.2214895073324441, 0.2227910108864307, 0.2290049441158771, 0.2111002091318368, 0.2401097077876329]",0.23759220584140467
77938,CCCC1=CC=C(O)C(Cl)=C1,11,"[154, 277, 300, 473, 851, 872, 976, 1028, 1053, 1091, 1175, 1180, 1297, 1571, 1673, 2047, 2091, 2727, 2728, 2897, 2999, 3324, 3507, 3570]",24,0.071387102548033,"[0.5237967811524868, 0.5501516826450825, 0.2752169705927372, 0.2157890059053898, 0.2387975215911865, 0.2853893548250198, 0.2027561862021684, 0.5429364830255509, 0.2494072556495666, 0.2763381280004978, 0.2144927747547626, 0.2110832039266824, 0.2154528528451919, 0.5444398269057273, 0.2418416574597358, 0.5296471633017064, 0.3000388033688068, 0.5346906684339047, 0.5180177599191665, 0.5051155112683773, 0.3625601135194302, 0.5243813127279282, 0.2995400249958038, 0.5162243105471134]",0.369921056398501
